 YEARMODA,   TEMP,  WDSP, MXSPD
19520101,41.5,3,6
19520102,40.5,3.4,9.9
19520103,40.5,1.5,4.1
19520104,45.2,5.5,8
19520106,33.8,7,12
19520107,29.5,13.7,16.9
19520108,29.5,8.5,15.9
19520110,38,6,9.9
19520111,39.7,5,9.9
19520112,45,5.5,8
19520113,42.8,10,15.9
19520114,36.8,3,4.1
19520116,34,5.5,9.9
19520117,37,4,6
19520118,43.2,5,8
19520119,46,5,8
19520120,46.3,11,15.9
19520123,25.2,10,15.9
19520125,40.2,6.5,15.9
19520126,43.2,4,9.9
19520131,37.5,4,8
19520201,43,3.5,6
19520202,43.5,4.5,9.9
19520203,43.5,7,12
19520204,34.5,12.5,15.9
19520208,35,6.5,9.9
19520210,34,20.2,22.9
19520211,28.3,9,15.9
19520213,40.2,6.5,8
19520215,45.7,6.5,12
19520217,42.5,8.9,15.9
19520218,33.3,10.7,16.9
19520219,31.2,4.5,8
19520220,33.5,6.5,9.9
19520222,34,13.3,16.9
19520224,38.5,9,14
19520225,34.7,4.6,6
19520227,34.7,5,9.9
19520228,33.5,6.5,9.9
19520229,25,5,14
19520302,33.5,16.3,35
19520303,32.7,3.5,4.1
19520304,40.5,4.5,6
19520305,34.2,7,14
19520306,35.5,5.5,9.9
19520310,24.5,4,9.9
19520311,30.2,4.5,8
19520312,34.2,2,4.1
19520313,37.8,4.5,6
19520317,32.2,999.9,999.9
19520319,27.2,13.5,15.9
19520320,30,3,6
19520321,33,6,9.9
19520322,40.5,3.5,6
19520323,44.2,4.5,9.9
19520325,47.8,6.5,9.9
19520326,43,4,6
19520327,52.5,11.8,25.1
19520329,45,2,4.1
19520331,63.3,14.2,21
19520402,58.5,11.5,21
19520404,38.5,16.9,22.9
19520406,43.5,5,8
19520407,43,2.5,4.1
19520408,43,11.5,15.9
19520409,43.7,5.5,8
19520410,44.7,3,6
19520412,45,2.5,4.1
19520413,50.5,6.5,9.9
19520415,53.2,1,1.9
